filename,face_identity_score,clip_score,brisque_score,time,
WOMEN-Blouses_Shirts-id_00001083-01_7_additional,0.685081863,0.328005075,19.63604736,58.06172323,
WOMEN-Cardigans-id_00001963-01_1_front,0.519857729,0.304553866,28.05072021,56.28044364,
WOMEN-Dresses-id_00003582-05_4_full,0.665634596,0.251837999,23.51751709,56.34960814,
WOMEN-Rompers_Jumpsuits-id_00006112-02_3_back,0.592631424,0.232724398,12.02581787,57.00404293,
MEN-Pants-id_00002236-01_7_additional,0.676083589,0.247760177,29.93847656,57.16378069,
WOMEN-Blouses_Shirts-id_00006728-01_4_full,0.497393513,0.259967268,15.75842285,101.3226531,
WOMEN-Dresses-id_00005408-05_4_full,0.376273209,0.189804822,52.41619873,61.20662417,
WOMEN-Blouses_Shirts-id_00001939-02_7_additional,0.419815981,0.230864882,44.93591309,57.42072042,
WOMEN-Tees_Tanks-id_00001801-09_4_full,0.533431912,0.263483942,18.8458252,61.89924963,
WOMEN-Tees_Tanks-id_00004715-01_1_front,0.685066187,0.289888322,20.65582275,57.60100481,
WOMEN-Blouses_Shirts-id_00002689-01_7_additional,0.579638028,0.25098747,17.56854248,61.98443456,
WOMEN-Cardigans-id_00000521-02_4_full,0.646944636,0.256898582,17.1362915,71.82244835,
WOMEN-Rompers_Jumpsuits-id_00000617-02_1_front,0.559835518,0.272749603,18.83978271,68.73796625,
WOMEN-Skirts-id_00006097-02_4_full,0.711261863,0.285242796,24.72241211,54.57312048,
WOMEN-Dresses-id_00004315-02_1_front,0.73673352,0.295686543,21.99975586,56.56622895,
WOMEN-Tees_Tanks-id_00002201-47_7_additional,0.560905123,0.250338882,12.76312256,55.08460127,
WOMEN-Tees_Tanks-id_00002387-02_4_full,0.622148448,0.272036493,30.85394287,47.66655852,
MEN-Jackets_Vests-id_00002754-01_1_front,0.727181667,0.291383743,25.19976807,57.37875652,
WOMEN-Dresses-id_00006852-04_3_back,0.513713443,0.214428648,22.73168945,53.80602638,
WOMEN-Rompers_Jumpsuits-id_00002548-02_2_side,0.494158053,0.313571751,31.1050415,45.80467946,
WOMEN-Rompers_Jumpsuits-id_00000584-05_2_side,0.666072273,0.237769276,2.116455078,59.70942009,
WOMEN-Denim-id_00000447-01_1_front,0.510498458,0.321222216,17.31860352,48.58129,
WOMEN-Dresses-id_00002802-01_3_back,0.506808543,0.268347651,11.30303955,51.41232276,
WOMEN-Dresses-id_00004811-06_4_full,0.604102546,0.257388115,10.90216064,44.66251234,
WOMEN-Blouses_Shirts-id_00003788-01_7_additional,0.51438936,0.258517623,16.22247314,42.14403379,
WOMEN-Dresses-id_00001623-02_1_front,0.594986224,0.282011211,28.49884033,42.1390275,
WOMEN-Sweaters-id_00007366-03_4_full,0.534050816,0.241115227,25.64727783,42.23117036,
WOMEN-Dresses-id_00004656-02_4_full,0.524798536,0.25600639,13.1105957,41.93660587,
WOMEN-Tees_Tanks-id_00005618-02_4_full,0.554354215,0.266961992,23.61547852,41.8795577,
WOMEN-Tees_Tanks-id_00004364-04_4_full,0.539609426,0.287722766,10.85089111,42.8931444,
WOMEN-Blouses_Shirts-id_00000720-03_4_full,0.452539304,0.203489721,49.31854248,41.95222433,
WOMEN-Blouses_Shirts-id_00005650-02_4_full,0.568110222,0.217610627,27.7734375,41.71863565,
WOMEN-Blouses_Shirts-id_00000132-03_4_full,0.524060214,0.286191881,19.19848633,41.69691684,
WOMEN-Blouses_Shirts-id_00007627-04_4_full,0.6191163,0.295908839,20.99273682,42.120049,
WOMEN-Cardigans-id_00002952-01_7_additional,0.483667278,0.218627766,12.85742188,42.32109124,
WOMEN-Graphic_Tees-id_00006883-01_4_full,0.649630451,0.279698282,12.41381836,41.87263461,
WOMEN-Rompers_Jumpsuits-id_00002761-06_1_front,0.528624827,0.286690533,16.38775635,43.17485052,
WOMEN-Sweaters-id_00006483-10_7_additional,0.541007841,0.293867111,34.90307617,42.1339821,
WOMEN-Cardigans-id_00000709-02_1_front,0.591021979,0.271313071,23.95996094,42.00713488,
WOMEN-Tees_Tanks-id_00005353-02_4_full,0.577257598,0.240304291,18.50488281,42.50154524,
WOMEN-Blouses_Shirts-id_00003456-02_7_additional,0.585546041,0.264231324,25.45495605,42.28565062,
MEN-Tees_Tanks-id_00004304-03_4_full,0.607054168,0.311001688,20.07720947,42.47315073,
WOMEN-Dresses-id_00004984-12_2_side,0.494970852,0.221153095,29.19677734,41.91220473,
WOMEN-Blouses_Shirts-id_00003799-01_4_full,0.516640568,0.287345737,32.12701416,42.33274915,
WOMEN-Tees_Tanks-id_00005757-02_7_additional,0.613473111,0.276359856,16.86645508,41.25409792,
WOMEN-Tees_Tanks-id_00004313-03_1_front,0.594750607,0.310001373,42.53204346,42.07767429,
WOMEN-Tees_Tanks-id_00005370-08_7_additional,0.664704824,0.252486467,11.65612793,42.58205051,
WOMEN-Sweaters-id_00007807-07_1_front,0.517661178,0.28075698,9.613525391,41.48137424,
WOMEN-Blouses_Shirts-id_00003802-04_4_full,0.575608456,0.29855442,19.51739502,42.76938177,
WOMEN-Blouses_Shirts-id_00004688-07_4_full,0.560761058,0.29856056,29.24206543,41.30872514,
WOMEN-Cardigans-id_00001150-01_2_side,0.601904357,0.301893651,26.7923584,43.05073771,
WOMEN-Dresses-id_00007566-02_2_side,0.598778927,0.259990931,14.57128906,43.05465571,
WOMEN-Sweaters-id_00003149-01_1_front,0.524215245,0.296517342,26.82037354,42.71928774,
WOMEN-Tees_Tanks-id_00001384-09_4_full,0.593038225,0.258292735,21.10723877,41.86483012,
WOMEN-Shorts-id_00004797-03_4_full,0.62914353,0.209408104,43.28771973,42.24405039,
WOMEN-Tees_Tanks-id_00005370-06_7_additional,0.613683605,0.23518905,29.90600586,42.32821218,
MEN-Pants-id_00003612-14_1_front,0.700662458,0.285673529,22.52374268,41.6696465,
WOMEN-Tees_Tanks-id_00002144-04_7_additional,0.43320688,0.300732791,12.44647217,41.9831796,
WOMEN-Blouses_Shirts-id_00003053-03_4_full,0.538587028,0.283848256,16.03131104,41.95584863,
